,Display,Rear Camera,Processor,Price1,Front Camera2,Battery1,Name1,RAM1,ROM1
95,16.76 ,13 MP + 2 MP + 2 MP + Low Light Sensor ,MediaTek Helio P22 (64 bit) Processor,"9,499", 8,5000 ,Infinix Hot 9 (Ocean Wave),4 GB , 64 GB 
96,16.76 ,13 MP + 2 MP + 2 MP + Low Light Sensor ,MediaTek Helio P22 (64 bit) Processor,"9,499", 8,5000 ,Infinix Hot 9 (Quetzal Cyan),4 GB , 64 GB 
97,16.76 ,13 MP + 2 MP + 2 MP + Low Light Sensor ,MediaTek Helio P22 (64 bit) Processor,"9,499", 8,5000 ,Infinix Hot 9 (Violet),4 GB , 64 GB 
98,16.56 ,13MP + AI Lens Dual Camera ,MediaTek Helio A20 Quad Core Processor,"6,799", 8,5000 ,Tecno Spark Go 2020 (Ice jadeite),2 GB , 32 GB 
99,16.56 ,13MP + AI Lens Dual Camera ,MediaTek Helio A20 Quad Core Processor,"6,799", 8,5000 ,Tecno Spark Go 2020 (Mystery White),2 GB , 32 GB 
100,16.56 ,13MP + AI Lens Dual Camera ,MediaTek Helio A20 Quad Core Processor,"6,799", 8,5000 ,Tecno Spark Go 2020 (Aqua Blue),2 GB , 32 GB 
101,16.56 ,13MP + 8MP + 2MP + 2MP ,Mediatek Helio G35 Processor,"9,999", 8,6000 ,Realme C15 (Power Silver),3 GB , 32 GB 
102,16.56 ,13MP + 8MP + 2MP + 2MP ,Mediatek Helio G35 Processor,"9,999", 8,6000 ,Realme C15 (Power Blue),3 GB , 32 GB 
103,15.75 ,13MP + 2MP ,MTK MT6765 Processor,"10,350", 8,4230 ,OPPO A5s (Black),3 GB , 32 GB 
104,17.22 ,64MP + 2MP + 2MP ,Qualcomm Snapdragon 662 Processor,"11,999", 16,6000 ,Motorola G9 Power (Metallic Sage),4 GB , 64 GB 
105,15.75 ,13MP + 2MP ,MTK MT6765 Processor,"10,499", 8,4230 ,OPPO A5s (Blue),3 GB , 32 GB 
106,15.49 ,8MP Rear Camera ,MediaTek Helio A20 Processor,"6,099", 5,5000 ,Infinix Smart HD 2021 (Quartz Green),2 GB , 32 GB 
107,15.49 ,8MP Rear Camera ,MediaTek Helio A20 Processor,"6,099", 5,5000 ,Infinix Smart HD 2021 (Topaz Blue),2 GB , 32 GB 
108,15.49 ,8MP Rear Camera ,MediaTek Helio A20 Processor,"6,099", 5,5000 ,Infinix Smart HD 2021 (Obsidian Black),2 GB , 32 GB 
109,16.21 ,48MP + 8MP + 2MP + 2MP ,Qualcomm Snapdragon 665 Processor,"18,990", 32,4500 ,Vivo S1 Pro (Jazzy Blue),8 GB , 128 GB 
110,16.21 ,48MP + 8MP + 2MP + 2MP ,Qualcomm Snapdragon 665 Processor,"18,990", 32,4500 ,Vivo S1 Pro (Mystic Black),8 GB , 128 GB 
111,16.21 ,48MP + 8MP + 2MP + 2MP ,Qualcomm Snapdragon 665 Processor,"18,990", 32,4500 ,Vivo S1 Pro (Dreamy White),8 GB , 128 GB 
112,16.56 ,13MP + AI Lens Dual AI Camera ,MediaTek Helio A25 Processor,"8,699", 8,5000 ,Tecno Spark 6 Go (Mystery White),4 GB , 64 GB 
113,16.26 ,64MP + 8MP + 2MP + 2MP ,Qualcomm Snapdragon 720G Processor,"21,999", 32,4500 ,Realme 7 Pro (Sun Kissed Leather),8 GB , 128 GB 
114,16.59 ,13MP + 8MP + 2MP + 2MP ,Qualcomm Snapdragon 665 Processor,"16,490", 16,5000 ,Vivo Y50 (Iris Blue),8 GB , 128 GB 
115,16.59 ,13MP + 8MP + 2MP + 2MP ,Qualcomm Snapdragon 665 Processor,"16,490", 16,5000 ,Vivo Y50 (Pearl White),8 GB , 128 GB 
116,16.51 ,64MP + 8MP + 5MP + 2MP ,Qualcomm Snapdragon 730G Processor,"17,499", 16,5000 ,Motorola One Fusion+ (Moonlight White),6 GB , 128 GB 
117,16.94 ,64MP + 8MP + 2MP + 2MP ,Qualcomm Snapdragon 730G Processor,"14,999", 20,4500 ,POCO X2 (Atlantis Blue),6 GB , 64 GB 
118,15.75 ,13MP + 2MP ,MediaTek Helio P35 Processor,"10,999", 8,4230 ,OPPO A5s (Blue),4 GB , 64 GB 
119,16.94 ,48MP + 8MP + 2MP ,Qualcomm Snapdragon 750G Processor,"18,999", 16,5000 ,Moto G 5G (Volcanic Grey),6 GB , 128 GB 
120,16.71 ,48MP + 8MP + 2MP ,Qualcomm Snapdragon 665 Processor,"17,990", 16,5000 ,Vivo Y51 (Titanium Sapphire),8 GB , 128 GB 
121,15.46 ,8MP + 0.3MP ,Unisoc SC9863A Octa Core Processor,"6,299", 5,4000 ,Itel Vision1 (Gradation Green),3 GB , 32 GB 
122,15.46 ,8MP + 0.3MP ,Unisoc SC9863A Octa Core Processor,"6,299", 5,4000 ,Itel Vision1 (Gradation Blue),3 GB , 32 GB 
123,17.22 ,64MP + 2MP + 2MP ,Qualcomm Snapdragon 662 Processor,"11,999", 16,6000 ,Motorola G9 Power (Electric Violet),4 GB , 64 GB 
124,16.94 ,64MP + 8MP + 2MP + 2MP ,Qualcomm Snapdragon 730G Processor,"14,999", 20,4500 ,POCO X2 (Matrix Purple),6 GB , 64 GB 
125,16.36 ,64MP + 8MP + 2MP ,Qualcomm Snapdragon 730 Processor,"24,990", 44,4000 ,Vivo V20 2021 (Midnight Jazz),8 GB , 128 GB 
126,16.36 ,64MP + 8MP + 2MP ,Qualcomm Snapdragon 730 Processor,"24,990", 44,4000 ,Vivo V20 2021 (Sunset Melody),8 GB , 128 GB 
127,16.54 ,13MP + 2MP + 2MP ,Qualcomm Snapdragon 460 Processor,"12,990", 8,5000 ,Vivo Y20 (Obsidian Black),4 GB , 64 GB 
128,16.54 ,13MP + 2MP + 2MP ,Qualcomm Snapdragon 460 Processor,"12,990", 8,5000 ,Vivo Y20 (Purist Blue),4 GB , 64 GB 
129,16.54 ,13MP + 2MP + 2MP ,Qualcomm Snapdragon 460 Processor,"12,990", 8,5000 ,Vivo Y20 (Dawn White),4 GB , 64 GB 
130,17.65 ,48MP + 2MP + 2MP + AI Lens Camera ,MediaTek Helio G70 Processor,"10,999", 16,5000 ,Infinix Note 7 (Aether Black),4 GB , 64 GB 
131,17.65 ,48MP + 2MP + 2MP + AI Lens Camera ,MediaTek Helio G70 Processor,"10,999", 16,5000 ,Infinix Note 7 (Forest Green),4 GB , 64 GB 
132,16.43 ,13MP + 8MP + 2MP + 2MP ,MediaTek Helio P35 Processor,"13,990", 8,5000 ,Vivo Y30 (Dazzle Blue),4 GB , 128 GB 
133,16.94 ,64MP + 8MP + 2MP + 2MP ,Qualcomm Snapdragon 730G Processor,"15,999", 20,4500 ,POCO X2 (Phoenix Red),6 GB , 128 GB 
134,16.43 ,13MP + 8MP + 2MP + 2MP ,MediaTek Helio P35 Processor,"13,990", 8,5000 ,Vivo Y30 (Emerald Black),4 GB , 128 GB 
135,13.87 ,8MP Rear Camera ,MediaTek Quad Core Processor,"5,001", 8,4000 ,Panasonic Eluga I7 (Black),2 GB , 16 GB 
136,16.51 ,48MP + 2MP ,Qualcomm Snapdragon 460 Processor,"9,999", 8,5000 ,Motorola E7 Plus (Misty Blue),4 GB , 64 GB 
137,16.51 ,48MP + 8MP + 2MP + 2MP ,MediaTek Helio G90T Processor,"13,999", 16,4300 ,Realme 6i (Lunar White),6 GB , 64 GB 
138,17.27 ,16MP + 2MP + 2MP + AI Lens Quad Camera ,MediaTek Helio G80 Processor,"10,499", 8,6000 ,Tecno POVA (Magic Blue),4 GB , 64 GB 
139,16.56 ,13MP + 8MP + 2MP + 2MP ,Qualcomm Snapdragon 460 Processor,"10,999", 8,6000 ,Realme C15 Qualcomm Edition (Power Blue),4 GB , 64 GB 
140,16.94 ,48MP + 8MP + 5MP + 2MP ,Qualcomm® Snapdragon™ 720G Processor,"13,619", 16,5020 ,Redmi Note 9 Pro (Glacier White),4 GB , 64 GB 
141,16.94 ,48MP + 8MP + 5MP + 2MP ,Qualcomm® Snapdragon™ 720G Processor,"18,689", 16,5020 ,Redmi Note 9 Pro (Interstellar Black),6 GB , 128 GB 
142,16.64 ,48MP + 2MP + 2MP + QVGA Rear Camera ,Helio P22 MT6762 Processor,"9,999", 16,5000 ,Tecno Camon 15 (Dark Jade),4 GB , 64 GB 
143,16.54 ,13MP + 2MP + 2MP ,Qualcomm Snapdragon 460 Processor,"11,490", 8,5000 ,Vivo Y20i (Dawn White),3 GB , 64 GB 
144,16.54 ,13MP + 2MP + 2MP ,Qualcomm Snapdragon 460 Processor,"11,490", 8,5000 ,Vivo Y20i (Nebula Blue),3 GB , 64 GB 
145,16.51 ,48MP + 2MP + 2MP ,Qualcomm Snapdragon 662 Processor,"10,999", 8,5000 ,Motorola G9 (Sapphire Blue),4 GB , 64 GB 
146,16.13 ,13MP + 2MP ,SDM439 Processor,"9,490", 8,5000 ,Vivo Y11 (Mineral Blue),3 GB , 32 GB 
147,16.13 ,13MP + 2MP ,SDM439 Processor,"9,490", 8,5000 ,Vivo Y11 (Agate Red),3 GB , 32 GB 
148,15.46 ,8MP Rear Camera ,UNISOC SC9863A OCTA CORE Processor,"6,599", 5,4000 ,Itel VISION1 (GRADATION GREEN),2 GB , 32 GB 
149,14.48 ,13MP + 2MP ,Qualcomm Snapdragon (SDM439) Octa Core Processor,"8,055", 5,4000 ,Samsung Galaxy M01 (Blue),3 GB , 32 GB 
150,16.43 ,13MP + 8MP + 2MP + 2MP ,MediaTek Helio P35 Processor,"14,990", 8,5000 ,Vivo Y30 (Dazzle Blue),6 GB , 128 GB 
151,16.71 ,48MP + 8MP + 2MP ,Qualcomm Snapdragon 665 Processor,"17,990", 16,5000 ,Vivo Y51 (Crystal Symphony),8 GB , 128 GB 
152,16.94 ,48MP + 8MP + 2MP ,Qualcomm Snapdragon 750G Processor,"18,999", 16,5000 ,Moto G 5G (Frosted Silver),6 GB , 128 GB 
153,16.56 ,13MP + 8MP + 2MP + 2MP ,Qualcomm Snapdragon 460 Processor,"10,999", 8,6000 ,Realme C15 Qualcomm Edition (Power Silver),4 GB , 64 GB 
154,16.26 ,64MP + 8MP + 2MP + 2MP ,Qualcomm Snapdragon 720G Processor,"19,999", 32,4500 ,Realme 7 Pro (Mirror Silver),6 GB , 128 GB 
155,16.26 ,64MP + 8MP + 2MP + 2MP ,Qualcomm Snapdragon 720G Processor,"21,999", 32,4500 ,Realme 7 Pro (Mirror Silver),8 GB , 128 GB 
156,16.94 ,48MP + 8MP + 5MP + 2MP ,Qualcomm® Snapdragon™ 720G Processor,"15,077", 16,5020 ,Redmi Note 9 Pro (Glacier White),4 GB , 128 GB 
157,16.94 ,48MP + 8MP ,Qualcomm Snapdragon 720G Processor,"15,220", 16,5020 ,Redmi Note 9 Pro (Aurora Blue),4 GB , 128 GB 
158,15.75 ,13MP + 2MP ,MediaTek Helio P35 Processor,"14,275", 8,4230 ,OPPO A5s (Gold),4 GB , 64 GB 
159,17.27 ,16MP + 2MP + 2MP + AI Lens Quad Camera ,MediaTek Helio G80 Processor,"10,499", 8,6000 ,Tecno POVA (Speed Purple),4 GB , 64 GB 
160,17.27 ,16MP + 2MP + 2MP + AI Lens Quad Camera ,MediaTek Helio G80 Processor,"11,999", 8,6000 ,Tecno POVA (Magic Blue),6 GB , 128 GB 
161,16.76 ,64MP + 12MP + 8MP + 2MP ,Snapdragon 720G Processor,"17,999", 16,4300 ,Realme 6 Pro (Lightning Blue),8 GB , 128 GB 
162,15.44 ,13MP + 5MP ,Octa Core Processor,"6,877", 13,3950 ,Lava Z66 (Berry Red),3 GB , 32 GB 
163,15.44 ,13MP + 5MP ,Octa Core Processor,"6,877", 13,3950 ,Lava Z66 (Marine Blue),3 GB , 32 GB 
164,16.54 ,13MP + 2MP ,Snapdragon 439 Processor,"9,990", 8,5000 ,Vivo Y12s (Glacier Blue),3 GB , 32 GB 
165,16.54 ,13MP + 2MP ,Snapdragon 439 Processor,"9,990", 8,5000 ,Vivo Y12s (Phantom Black),3 GB , 32 GB 
166,16.51 ,64MP + 8MP + 2MP + 2MP ,MediaTek Helio G90T Processor,"13,999", 16,4300 ,Realme 6 (Comet Blue),4 GB , 64 GB 
167,16.51 ,48MP + 8MP + 2MP + 2MP ,MediaTek Helio G90T Processor,"13,999", 16,4300 ,Realme 6i (Eclipse Black),6 GB , 64 GB 
168,16.76 ,48 MP + 2 MP + 2 MP + Low Light Sensor ,MediaTek Helio P22 (64 bit) Processor,"10,499", 8,5000 ,Infinix Hot 9 Pro (Ocean Wave),4 GB , 64 GB 
169,16.76 ,48 MP + 2 MP + 2 MP + Low Light Sensor ,MediaTek Helio P22 (64 bit) Processor,"10,499", 8,5000 ,Infinix Hot 9 Pro (Quetzal Cyan),4 GB , 64 GB 
170,16.56 ,13MP + 8MP + 2MP + 2MP ,Qualcomm Snapdragon 460 Processor,"9,999", 8,6000 ,Realme C15 Qualcomm Edition (Power Silver),3 GB , 32 GB 
171,16.56 ,13MP + 8MP + 2MP + 2MP ,Qualcomm Snapdragon 460 Processor,"9,999", 8,6000 ,Realme C15 Qualcomm Edition (Power Blue),3 GB , 32 GB 
172,16.94 ,48MP + 8MP + 5MP + 2MP ,Qualcomm® Snapdragon™ 720G Processor,"13,419", 16,5020 ,Redmi Note 9 Pro (Interstellar Black),4 GB , 64 GB 
173,16.94 ,48MP + 8MP + 5MP + 2MP ,Qualcomm® Snapdragon™ 720G Processor,"14,979", 16,5020 ,Redmi Note 9 Pro (Champagne Gold),4 GB , 128 GB 
174,16.59 ,48MP Rear Camera ,QualcommÂ® Snapdragonâ¢ 662 Processor,"11,878", 8,6000 ,Redmi 9 Power (Blazing Blue),4 GB , 64 GB 
175,16.51 ,13MP + 2MP + 2MP ,Qualcomm Snapdragon 460 Processor,"10,990", 8,5000 ,OPPO A33 (Mint Cream),3 GB , 32 GB 
176,15.8 ,13MP Rear Camera ,MediaTek Helio P22 Processor,"8,490", 5,4030 ,Vivo Y91i (Fusion Black),3 GB , 32 GB 
177,16.76 ,64MP + 12MP + 8MP + 2MP ,Snapdragon 720G Processor,"15,999", 16,4300 ,Realme 6 Pro (Lightning Orange),6 GB , 64 GB 
178,16.51 ,48MP + 8MP + 2MP + 2MP ,MediaTek Helio G90T Processor,"12,999", 16,4300 ,Realme 6i (Lunar White),4 GB , 64 GB 
179,17.27 ,16MP + 2MP + 2MP + AI Lens Quad Camera ,MediaTek Helio G80 Processor,"11,999", 8,6000 ,Tecno POVA (Speed Purple),6 GB , 128 GB 
180,15.8 ,13MP Rear Camera ,MediaTek Helio P22 Processor,"8,490", 5,4030 ,Vivo Y91i (Fusion Black),3 GB , 32 GB 
181,16.76 ,64MP + 12MP + 8MP + 2MP ,Snapdragon 720G Processor,"15,999", 16,4300 ,Realme 6 Pro (Lightning Orange),6 GB , 64 GB 
182,16.33 ,48MP + 8MP + 2MP + 2MP ,MediaTek Helio P95 Processor,"21,490", 16,4015 ,OPPO F17 Pro (Metallic White),8 GB , 128 GB 
183,17.78 ,16 MP + 5 MP + 2 MP + AI Lens ,MediaTek Helio P22 Octa Core Processor,"9,999", 16,6000 ,Tecno Spark Power 2 (Misty Grey),4 GB , 64 GB 
184,16.59 ,13MP Rear Camera ,MediaTek Helio G80 Processor,"11,792", 8,5020 ,Redmi 9 Prime (Sunrise Flare),4 GB , 128 GB 
185,15.44 ,13MP + 5MP ,Octa Core Processor,"7,999", 13,3950 ,Lava Z66 (Midnight Blue),3 GB , 32 GB 
186,16.51 ,13MP + 2MP + 2MP ,Qualcomm Snapdragon 460 Processor,"12,990", 16,5000 ,OPPO A53 (Electric Black),4 GB , 64 GB 
187,16.51 ,13MP + 2MP + 2MP ,Qualcomm Snapdragon 460 Processor,"15,490", 16,5000 ,OPPO A53 (Fancy Blue),6 GB , 128 GB 
188,16.51 ,13MP + 2MP + 2MP ,Qualcomm Snapdragon 460 Processor,"15,490", 16,5000 ,OPPO A53 (Fairy White),6 GB , 128 GB 
189,6.1 ,0.3MP Rear Camera ,0 0 0 0 Processor Processor,"2,799", 0.3,1020 ,Nokia 216/216 DS),16 MB , NA 
190,16.36 ,48MP + 8MP + 2MP + 2MP ,Qualcomm Snapdragon 712 AIE Processor,"27,990", 32,4500 ,Vivo V19 (Mystic Silver),8 GB , 256 GB 
191,16.36 ,64MP + 8MP + 2MP ,Qualcomm Snapdragon 765G Processor,"29,990", 44,4000 ,Vivo V20 Pro (Midnight Jazz),8 GB , 128 GB 
192,16.36 ,48MP + 8MP + 2MP ,Qualcomm Snapdragon 665 Processor,"20,990", 32,4100 ,Vivo V20 SE (Gravity Black),8 GB , 128 GB 
193,16.69 ,64MP + 12MP + 8MP + 2MP ,Qualcomm Snapdragon 855+ Processor,"22,999", 16,4200 ,Realme X3 (Arctic White),8 GB , 128 GB 
194,15.8 ,12MP Rear Camera ,Qualcomm Snapdragon 439 Processor,"8,449", 8,5000 ,Redmi 8A (Ocean Blue),3 GB , 32 GB 
195,16.36 ,48MP + 8MP + 2MP ,Qualcomm Snapdragon 665 Processor,"20,990", 32,4100 ,Vivo V20 SE (Aquamarine Green),8 GB , 128 GB 
196,13.46 ,8MP Rear Camera ,MediaTek | MT6739WW quad core  Processor,"6,180", 5,3000 ,Samsung M01 core (Black),2 GB , 32 GB 
197,16.59 ,13MP + 8MP ,MediaTek Helio G35 Processor,"10,397", 8,5000 ,Redmi 9 (Sky Blue),4 GB , 128 GB 
198,16.59 ,13MP + 2MP ,MediaTek Helio G35 Processor,"9,869", 5,5000 ,Redmi 9 (Sky Blue),4 GB , 64 GB 
199,16.94 ,64MP + 8MP + 5MP + 2MP ,Qualcomm Snapdragon 720G Processor,"18,799", 32,5020 ,Redmi Note 9 Pro Max (Glacier White),6 GB , 128 GB 
200,16.0 ,48MP + 8MP + 2MP + 2MP ,Qualcomm Snapdragon 665 Processor,"12,999", 13,4000 ,Redmi Note 8 (Neptune Blue),4 GB , 64 GB 
201,16.56 ,12MP + 2MP ,Helio G70 Processor,"8,999", 5,5000 ,Realme C3 (Frozen Blue),3 GB , 32 GB 
202,16.36 ,48MP + 13MP + 13MP + 2MP ,Qualcomm Snapdragon 865 Processor,"34,990", 16,4440 ,iQOO 3 (5G) (Tornado Black),12 GB , 256 GB 
203,17.27 ,64MP + 2MP + 2MP + AI Lens Quad AI Camera ,MediaTek Helio G70 Processor,"11,499", 16,5000 ,Tecno Camon 16 (Cloud White),4 GB , 64 GB 
204,16.59 ,13MP Rear Camera ,MediaTek Helio G25 Processor,"8,299", 5,5000 ,Redmi 9A (Sea Blue),3 GB , 32 GB 
205,16.59 ,13MP Rear Camera ,MediaTek Helio G25 Processor,"8,179", 5,5000 ,Redmi 9A (Midnight Black),3 GB , 32 GB 
206,16.64 ,48MP + 2MP + 2MP + QVGA Rear Camera ,Helio P22 MT6762 Processor,"9,999", 16,5000 ,Tecno Camon 15 (SHOAL GOLD),4 GB , 64 GB 
207,13.46 ,8MP Rear Camera ,MediaTek | MT6739WW quad core  Processor,"6,299", 5,3000 ,Samsung M01 core (Blue),2 GB , 32 GB 
208,17.4 ,48MP + 8MP + 2MP + AI Lens Camera ,MediaTek Helio G90T Processor,"14,999", 16,4500 ,Infinix Zero 8i (Black Diamond),8 GB , 128 GB 
209,16.56 ,12MP + 2MP ,Helio G70 Processor,"8,999", 5,5000 ,Realme C3 (Volcano Grey),3 GB , 32 GB 
210,16.26 ,13MP + 5MP + 2MP ,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,"10,390", 8,5000 ,Samsung Galaxy M11 (Violet),3 GB , 32 GB 
211,13.84 ,8MP Rear Camera ,MediaTek Helio P22 (MT6762R) Octa Core Processor,"5,999", 5,3020 ,Honor 9S (Blue),2 GB , 32 GB 
212,16.94 ,48MP + 8MP + 5MP + 2MP ,Qualcomm® Snapdragon™ 720G Processor,"19,499", 16,5020 ,Redmi Note 9 Pro (Aurora Blue),6 GB , 128 GB 
213,16.51 ,48MP + 8MP + 13MP + 2MP ,Qualcomm Snapdragon 730G Processor,"38,990", 16,4000 ,OPPO Reno2 (Luminous Black),8 GB , 256 GB 
214,16.26 ,48MP + 8MP + 5MP + 5MP ,MediaTek (MT6768) Octa Core Processor,"17,999", 20,5000 ,Samsung Galaxy A31 (Prism Crush Black),6 GB , 128 GB 
215,15.8 ,13MP Rear Camera ,MTK Helio P22 Processor,"7,990", 5,4030 ,Vivo Y91i (Ocean Blue),2 GB , 32 GB 
216,16.94 ,64MP Rear Camera ,Qualcomm Snapdragon 865 Processor,"34,999", 20,5000 ,Mi 10T (Cosmic Black),8 GB , 128 GB 
217,16.26 ,13MP + 5MP + 2MP ,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,"12,959", 8,5000 ,Samsung Galaxy M11 (Black),4 GB , 64 GB 
218,16.33 ,48MP + 8MP + 2MP + 2MP ,MediaTek Helio P95 Processor,"21,490", 16,4015 ,OPPO F17 Pro (Matte Black),8 GB , 128 GB 
219,16.26 ,48MP + 8MP + 5MP + 5MP ,MediaTek (MT6768) Octa Core Processor,"17,999", 20,5000 ,Samsung Galaxy A31 (Prism Crush Blue),6 GB , 128 GB 
220,16.33 ,48MP + 8MP + 2MP + 2MP ,MediaTek Helio P95 Processor,"21,490", 16,4015 ,OPPO F17 Pro (Magic Blue),8 GB , 128 GB 
221,16.69 ,64MP + 12MP + 8MP + 2MP ,Qualcomm Snapdragon 855+ Processor,"22,999", 16,4200 ,Realme X3 (Glacier Blue),8 GB , 128 GB 
